distrito;Colision Doble;Colision Multiple;Choque con Objeto;Total Colisiones
SANBLAS;2291;211;587;3089
USERA;1558;224;612;2394
PUENTEDEVALLECAS;2811;417;1203;4431
SALAMANCA;4233;501;1005;5739
HORTALEZA;1585;143;678;2406
CENTRO;3937;333;1227;5497
CARABANCHEL;2893;357;1097;4347
CIUDADLINEAL;3138;475;1012;4625
CHAMBERI;3188;246;576;4010
VILLAVERDE;1206;118;504;1828
MORATALAZ;1093;197;411;1701
MONCLOA-ARAVACA;2457;467;1389;4313
LATINA;2186;278;912;3376
TETUAN;2646;225;644;3515
VICALVARO;580;44;339;963
CHAMARTIN;3841;534;979;5354
ARGANZUELA;2904;425;717;4046
RETIRO;2845;510;467;3822
FUENCARRAL-ELPARDO;2543;327;1142;4012
VILLADEVALLECAS;1052;55;420;1527
BARAJAS;629;32;328;989
